y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99
1921,88,5,8,2,37,65,3,57,88,28,26,53,54,10,80,68,28,42,63,23,78,62,72,28,67,58,27,70,15,76,81,29,25,89,92,97,66,73,24,61,50,44,2,45,30,42,84,73,18,9,38,74,19,95,28,4,18,46,95,7,50,25,38,87,23,13,92,14,14,35,40,50,3,22,95,65,37,33,30,3,5,17,91,90,73,96,82,3,34,9,5,27,61,34,9,38,40,69,74,82
2086,79,60,35,91,39,84,77,49,44,83,85,74,9,97,74,88,13,75,21,30,0,98,48,85,44,52,83,85,13,73,96,19,17,51,8,54,8,94,95,100,50,92,20,35,94,80,50,40,72,22,75,13,86,9,26,2,23,91,81,3,29,93,67,55,1,75,57,78,22,38,96,28,50,45,89,42,14,79,71,41,100,96,25,59,26,14,11,89,62,65,33,60,100,13,68,95,97,13,57,60
1905,8,17,96,9,3,25,22,19,92,16,50,67,67,79,66,82,80,100,74,0,81,4,18,45,50,39,4,50,17,95,30,59,83,53,90,78,78,5,68,8,34,34,86,97,66,64,19,6,80,68,39,76,11,58,35,49,93,29,97,51,79,90,90,36,17,81,85,46,25,12,50,15,54,67,27,52,67,98,34,53,70,51,21,23,35,92,36,3,94,96,61,25,55,74,60,85,52,19,13,44
2057,70,11,52,16,59,70,28,40,43,9,48,2,12,57,59,29,47,53,77,86,72,0,79,97,45,94,0,8,74,3,7,78,71,4,88,95,19,82,5,17,95,93,87,47,44,32,39,66,51,52,86,7,51,90,49,38,82,9,72,70,91,2,39,97,3,72,27,55,84,89,82,49,2,55,95,92,72,62,36,33,90,37,9,35,27,73,62,45,47,88,42,13,9,62,65,66,95,74,39,99
2122,27,21,34,95,81,16,69,26,32,14,30,65,76,55,74,68,38,39,42,90,92,1,96,88,44,73,32,49,6,31,47,79,61,39,33,46,58,67,19,38,51,25,70,84,50,21,74,92,62,37,69,86,14,65,79,32,51,41,85,45,89,3,45,92,83,39,83,27,42,28,36,95,80,42,52,46,3,79,14,51,96,49,63,12,54,28,70,70,44,73,95,5,9,56,56,86,72,27,24,30
2150,20,5,7,26,98,86,47,85,62,74,59,71,60,70,72,12,33,60,52,51,69,81,96,93,6,2,66,38,51,11,34,47,75,63,92,3,41,98,26,8,13,38,76,51,40,2,56,59,79,85,94,68,20,60,15,32,17,15,20,63,84,47,87,83,32,42,94,100,56,95,63,75,30,39,63,44,9,57,29,30,67,87,88,84,88,72,85,67,2,35,5,39,39,98,10,26,94,10,14,33
2155,81,10,64,31,100,48,72,33,7,7,54,13,38,23,6,27,68,34,3,9,2,81,71,79,81,18,66,66,4,5,4,79,67,32,28,18,43,8,82,18,86,7,28,75,30,90,53,3,59,36,97,84,80,86,10,63,40,99,25,57,84,46,89,34,63,83,55,30,3,81,68,0,85,57,29,15,33,16,60,4,6,33,68,57,66,4,12,0,72,97,37,77,40,64,90,53,5,47,76,76
2003,48,19,46,16,67,86,9,57,20,27,11,30,86,61,75,46,71,83,31,35,72,68,37,40,62,82,31,73,44,31,27,56,23,72,81,61,43,77,97,26,83,95,40,59,22,52,21,15,97,47,75,46,22,25,40,40,91,91,74,49,64,31,9,23,78,53,25,16,40,31,96,87,70,83,42,44,74,86,87,55,29,17,95,82,85,95,76,44,57,87,6,34,55,72,5,71,85,69,50,91
2151,39,86,92,3,64,41,0,45,46,30,30,3,72,83,54,91,15,83,89,55,54,47,67,91,72,23,33,83,73,16,9,16,82,88,71,71,41,41,100,7,63,96,9,78,49,78,91,76,64,6,39,3,88,16,88,13,67,86,95,32,12,98,22,11,30,31,37,79,98,88,6,11,14,43,94,93,81,12,63,95,14,6,35,13,54,26,16,19,53,73,95,82,66,55,79,67,3,5,6,36
1827,43,65,94,52,98,53,59,38,33,69,74,49,88,5,48,19,8,28,94,57,30,45,33,12,7,94,38,12,15,86,18,68,74,34,62,70,79,53,77,96,1,37,35,93,79,92,95,37,54,75,48,22,56,35,46,66,73,72,30,30,59,95,56,30,65,11,72,63,90,64,40,8,50,94,14,35,74,56,88,39,24,12,46,73,55,29,10,96,57,99,58,40,0,99,49,20,63,49,49,76
1568,12,89,63,50,57,26,84,15,90,96,7,44,57,52,49,73,100,71,18,57,98,78,39,33,45,6,2,51,51,10,53,38,71,7,64,60,2,5,62,40,92,97,72,30,86,59,55,98,28,72,6,76,0,76,38,75,0,48,69,21,73,5,3,26,20,1,54,6,65,80,75,8,23,96,11,91,31,73,11,76,97,36,17,41,78,21,30,3,6,69,88,53,71,52,89,63,62,0,80,14
1946,59,5,44,3,11,1,62,26,32,4,17,90,52,94,48,67,91,0,55,50,10,37,23,90,36,26,6,66,56,83,25,95,94,92,30,70,88,37,61,10,79,0,6,63,87,21,64,57,50,38,52,81,20,62,11,12,84,60,41,74,23,95,30,98,49,51,93,87,29,28,22,100,82,32,10,73,48,87,64,21,61,53,5,55,4,45,65,85,39,60,19,80,31,84,44,93,46,97,40,98
2172,25,76,14,15,36,8,58,58,59,8,56,53,95,38,3,66,5,66,66,69,11,43,99,81,66,63,47,77,87,24,55,15,18,5,32,76,74,38,42,31,5,75,8,92,65,41,2,15,70,58,77,58,51,13,67,38,11,37,46,85,51,61,33,68,53,21,5,76,48,77,42,90,81,84,27,38,27,71,37,4,89,80,36,31,59,34,70,37,68,49,78,73,74,22,89,1,18,58,18,77
1890,2,5,17,1,71,75,1,12,71,8,89,68,53,44,42,41,58,0,15,33,23,16,96,99,97,87,29,38,91,1,46,1,16,81,78,68,12,61,78,44,83,92,83,94,93,62,41,14,13,83,17,20,15,17,1,35,22,28,91,69,28,72,18,2,95,93,15,42,28,28,5,4,2,18,46,95,54,89,32,16,50,19,6,51,43,19,83,49,62,30,0,55,45,14,25,65,96,85,33,58
1908,64,78,25,81,12,47,43,80,44,89,27,78,23,61,69,5,25,75,1,22,47,15,55,71,58,39,53,0,76,46,72,29,51,34,76,76,33,32,55,84,86,14,74,30,67,30,29,18,73,65,20,65,100,17,100,86,63,67,32,82,85,24,38,17,58,8,2,47,6,71,32,55,93,27,9,55,41,79,25,94,71,65,16,24,95,91,85,6,43,26,68,69,54,48,8,97,75,40,30,59
2031,31,88,63,29,75,3,2,93,41,1,89,6,45,1,55,2,31,75,58,39,79,78,73,0,64,57,73,62,96,51,48,63,4,2,82,83,23,52,38,74,0,60,56,81,21,98,79,1,89,76,24,65,18,8,49,2,38,2,30,97,74,91,16,21,10,70,75,9,62,4,71,6,69,21,37,24,24,90,44,45,53,84,57,24,96,94,7,49,90,78,62,14,97,66,44,15,73,94,100,9
1856,92,11,90,8,39,48,57,79,94,92,91,17,16,89,58,32,90,14,92,21,25,65,34,18,89,20,80,37,33,0,92,99,9,61,83,42,91,71,51,17,37,51,91,80,67,48,13,65,92,11,44,8,73,19,4,59,13,16,43,92,41,63,84,72,65,26,72,97,72,91,56,39,47,68,52,85,85,74,22,33,89,52,20,58,90,44,48,64,55,69,9,11,8,84,83,0,9,83,52,17
1992,92,89,98,41,71,90,17,16,13,8,5,47,96,46,98,39,13,74,23,67,23,85,90,9,97,23,58,99,13,16,26,13,81,64,70,27,13,68,64,67,58,93,42,42,38,76,25,2,0,29,0,86,27,83,75,20,49,81,21,77,26,54,63,10,63,47,72,78,8,26,24,55,89,84,99,42,22,61,37,17,28,6,19,60,29,95,35,98,3,56,14,9,84,36,79,0,47,0,42,86
2138,18,9,32,91,15,1,59,56,17,97,55,32,44,0,42,46,74,48,13,38,75,42,59,89,67,26,86,40,44,82,97,78,99,28,36,19,14,22,65,42,89,12,24,38,46,37,82,8,49,4,60,27,70,63,36,10,43,77,89,8,77,57,7,64,22,20,77,16,17,78,23,37,43,77,36,77,79,83,96,21,93,0,12,4,46,57,84,8,50,39,12,64,23,0,81,93,73,12,5,11
1885,17,87,22,65,91,2,46,59,12,29,46,69,20,37,74,70,62,59,27,54,39,5,75,4,47,52,64,41,96,13,62,82,33,48,23,5,7,7,45,43,58,67,70,62,62,85,24,54,66,90,69,61,47,26,9,77,54,90,76,12,43,80,56,41,18,89,26,100,28,11,54,37,60,27,89,92,30,65,39,82,73,13,42,93,21,2,66,82,19,81,63,93,33,71,11,40,61,72,93,84
2137,61,26,85,27,77,71,84,22,47,28,49,46,77,70,77,67,22,72,15,20,83,60,46,88,72,44,37,64,28,48,33,71,42,18,63,13,22,22,16,0,52,0,96,44,100,58,42,25,30,52,92,8,52,10,21,35,64,42,66,37,100,57,69,45,67,21,15,83,17,96,24,89,4,61,63,48,95,49,98,79,74,65,96,97,42,92,27,79,69,23,3,30,14,80,10,48,8,94,11,8
2119,47,8,79,27,25,6,11,56,36,37,81,37,65,35,93,68,27,66,11,76,68,32,86,15,25,53,87,79,95,54,21,12,98,80,8,96,48,20,7,35,44,24,3,27,88,97,86,87,55,40,81,54,57,21,86,42,21,66,23,9,0,47,16,29,84,74,46,96,5,74,17,78,50,3,31,93,67,94,2,79,1,1,33,29,67,82,71,33,92,36,38,27,95,93,4,52,50,97,9,28
2321,73,21,15,49,32,40,94,47,93,55,47,1,92,22,87,61,92,93,20,46,55,86,53,16,70,78,13,46,96,76,11,83,3,0,59,48,53,53,89,90,24,64,83,35,58,31,1,55,13,79,99,43,13,97,30,95,70,89,78,64,85,12,77,8,55,49,24,84,32,39,50,55,57,96,15,11,12,0,52,22,51,98,38,86,8,20,66,36,49,67,95,89,100,25,58,84,48,56,13,39
1410,7,6,57,43,11,71,6,84,17,65,95,82,5,32,59,95,100,35,47,84,1,65,17,33,2,9,1,97,2,62,60,97,7,5,100,99,59,20,42,92,55,24,21,91,85,55,39,10,81,22,75,73,32,8,19,7,83,56,35,68,14,4,8,19,10,86,56,96,16,67,2,18,48,12,67,13,34,60,40,62,44,93,16,28,91,52,73,21,29,55,18,84,82,54,20,36,88,11,80,61
2016,62,83,8,5,78,11,81,95,33,22,30,61,86,12,19,94,9,23,98,59,71,20,36,98,18,34,35,44,50,85,69,13,33,98,13,13,86,97,83,100,99,75,38,72,21,35,28,58,59,74,6,68,68,34,96,92,49,8,52,71,21,33,85,64,70,81,17,37,64,18,56,89,31,32,46,65,22,35,51,46,1,88,79,76,45,19,34,36,94,15,89,59,87,9,23,3,41,90,30,0
2337,43,57,49,22,63,48,63,58,23,92,38,36,31,37,54,54,28,98,53,67,92,18,65,78,83,64,83,35,31,25,87,58,96,72,52,64,23,37,90,29,0,49,0,69,30,77,72,82,15,43,22,57,58,81,42,99,92,39,77,87,0,87,51,17,64,45,89,84,9,89,1,29,1,9,79,54,87,34,93,74,70,20,5,98,6,34,93,36,40,100,52,39,56,59,27,39,52,46,12,91
1898,79,81,64,82,85,0,65,74,35,49,97,91,97,10,17,7,85,10,47,43,54,60,47,74,60,49,86,12,31,28,79,44,3,72,40,54,38,43,24,26,61,82,52,79,55,69,20,43,7,20,34,1,54,97,37,56,12,44,56,0,95,52,3,97,37,47,10,99,0,65,100,47,24,86,22,5,82,37,7,85,72,65,71,63,7,95,12,23,52,59,63,30,19,5,15,72,37,41,95,38
2042,24,91,56,7,47,80,60,41,85,9,97,84,54,6,65,29,22,97,14,37,14,36,63,27,47,18,22,21,33,67,49,22,39,33,50,98,47,1,99,78,68,31,33,81,26,10,63,26,49,59,90,84,0,80,78,100,73,72,50,20,90,81,7,78,46,63,96,72,96,70,47,97,17,17,49,19,88,74,93,92,40,93,83,89,20,77,23,60,60,32,75,66,79,36,43,34,0,21,48,13
1761,70,95,77,81,59,82,16,93,65,53,17,77,16,93,59,79,55,86,96,44,34,54,5,9,59,13,67,34,69,88,90,31,64,98,55,41,44,90,40,18,12,74,32,29,57,99,52,30,94,49,19,86,55,56,77,60,93,7,20,2,27,54,59,85,14,2,23,17,52,89,45,56,4,20,79,19,97,41,39,40,93,70,45,89,91,36,60,82,77,32,13,69,37,1,97,17,41,9,70,49
1586,23,77,0,30,49,86,36,21,15,55,25,97,1,25,92,92,99,55,95,42,50,8,37,11,21,54,46,87,95,93,43,80,38,55,23,81,39,41,48,93,0,54,16,66,25,67,6,46,66,30,21,31,59,10,39,34,2,18,13,62,14,69,84,19,30,1,1,52,0,23,46,21,96,83,21,67,29,5,66,55,12,51,77,68,96,64,60,65,42,47,86,95,41,21,92,55,7,76,71,97
2070,67,34,86,78,52,85,25,1,37,98,37,52,94,69,82,98,36,76,48,13,42,59,75,40,52,62,38,87,76,42,67,59,74,13,53,79,90,53,99,3,39,71,29,92,87,86,23,41,47,59,7,76,37,20,57,20,20,72,67,39,46,92,48,37,83,46,28,11,100,18,23,51,6,85,48,39,8,95,65,65,20,16,83,54,50,80,5,83,34,94,25,87,90,85,38,35,6,59,60,43
1864,4,98,40,63,82,35,41,48,0,28,5,78,60,84,35,48,3,78,25,49,33,37,51,94,54,13,69,9,0,71,71,52,70,59,62,48,23,22,84,94,72,16,38,2,83,40,79,79,99,40,48,7,76,38,45,99,30,54,36,87,78,25,29,89,70,21,19,24,98,29,35,31,100,27,51,77,66,76,83,62,27,98,83,77,4,30,56,10,6,14,78,53,77,59,41,59,79,82,71,89
1920,62,71,82,60,98,42,37,30,58,93,31,17,78,68,50,38,8,31,57,3,39,62,59,66,88,97,17,0,73,37,56,29,94,83,42,48,23,18,46,71,20,42,22,25,25,46,37,14,48,100,23,19,53,63,84,24,94,33,61,68,32,34,44,28,2,43,36,32,8,63,1,27,31,100,60,36,69,42,18,10,46,8,51,58,81,43,89,52,35,49,83,78,38,21,27,1,0,87,37,25
2288,6,88,93,94,81,13,95,76,90,26,69,68,22,90,82,3,2,60,38,55,61,2,60,71,94,29,55,54,91,38,45,83,96,53,68,66,39,18,56,60,19,31,31,62,53,10,80,70,3,42,35,13,68,78,37,53,56,79,69,4,53,88,34,98,94,99,63,40,70,47,87,86,57,32,74,85,82,50,9,6,17,54,94,45,27,82,99,97,96,34,90,10,1,16,9,85,84,77,39,42
2128,18,58,92,9,88,70,15,22,41,85,65,88,46,93,96,52,86,18,83,87,18,86,58,14,88,36,57,24,42,36,18,40,32,26,14,33,27,84,25,18,30,58,68,88,20,91,21,23,55,99,60,62,31,73,89,80,92,44,4,64,91,14,62,67,32,54,99,55,52,85,30,90,0,12,88,6,92,100,79,30,31,40,83,33,100,56,41,98,54,48,89,12,59,93,56,92,21,94,87,9
1407,54,34,31,68,16,36,9,82,3,96,83,78,9,27,31,33,4,89,77,39,9,74,51,36,19,40,69,25,29,22,4,24,92,51,66,48,33,25,45,51,5,41,53,80,12,36,90,71,75,6,6,69,83,36,30,52,1,23,2,44,31,32,39,70,4,3,16,35,19,64,69,28,36,4,4,18,96,0,14,1,13,37,77,75,33,75,96,6,64,42,85,48,96,87,90,64,29,37,55,72
2154,93,20,34,64,65,94,26,34,48,50,71,28,3,52,94,68,94,67,70,50,48,79,46,7,5,98,91,76,81,98,78,43,20,84,70,23,39,67,96,98,33,57,19,83,11,28,54,10,64,24,60,59,60,24,54,73,64,73,31,6,79,14,4,59,21,47,60,73,13,22,6,32,44,79,61,19,76,27,65,11,99,51,27,26,13,55,23,30,95,86,63,95,16,45,44,71,45,62,83,93
1665,46,30,61,50,14,51,11,33,14,31,74,33,88,93,11,96,32,88,49,36,52,88,9,67,12,7,11,23,68,63,88,45,74,12,84,61,2,92,47,37,57,46,42,40,64,8,42,53,32,78,6,57,53,46,10,3,55,96,1,79,56,41,56,43,78,27,21,6,51,80,54,84,47,36,11,4,33,71,23,93,17,27,93,36,57,23,19,61,52,71,6,74,52,51,19,45,42,31,2,97
2047,27,19,24,69,37,20,52,95,33,71,93,18,81,100,93,63,50,29,66,55,58,27,90,13,30,48,39,93,64,98,48,33,91,67,34,35,43,91,25,79,69,98,45,91,19,70,19,6,97,54,18,58,32,84,72,7,49,67,35,37,5,41,42,65,16,38,66,59,69,67,34,20,38,81,36,20,31,22,19,46,6,38,45,56,82,41,24,83,31,93,73,89,56,4,61,28,68,80,29,72
2119,22,36,40,64,63,86,11,35,10,99,14,70,24,29,13,71,84,96,59,61,92,97,18,64,90,58,64,66,0,53,44,40,3,80,44,22,85,36,75,62,3,25,20,13,14,2,23,85,49,14,13,27,8,28,43,24,28,82,46,16,94,87,56,89,99,30,35,88,6,16,37,64,20,53,27,29,84,28,63,91,27,75,79,24,74,43,7,42,85,32,90,36,31,99,11,99,2,39,22,35
1854,20,88,67,100,97,78,85,18,63,24,15,95,30,27,27,48,15,52,86,88,10,85,21,26,16,26,15,92,84,29,47,12,35,18,98,81,20,86,10,91,14,49,53,3,18,44,97,50,47,61,55,50,49,37,50,48,53,37,87,27,97,98,70,57,9,89,35,10,3,85,89,60,15,13,83,89,2,100,58,74,62,97,70,44,60,6,4,87,57,12,74,85,49,54,99,34,85,68,15,16
2267,4,98,77,19,27,54,92,100,65,14,61,10,29,96,29,96,54,69,84,16,90,96,73,39,97,82,69,87,0,2,40,18,29,60,51,90,0,47,20,98,63,85,2,11,43,25,58,61,44,55,60,90,83,32,45,51,0,36,24,34,97,9,89,89,78,5,77,14,22,62,97,8,97,6,39,5,83,21,18,83,65,92,29,4,6,95,58,57,74,84,76,25,80,94,47,6,24,97,40,93
1801,91,8,45,78,23,58,87,94,23,46,14,7,58,21,94,71,61,69,36,27,93,30,48,8,89,22,51,54,20,53,96,20,79,51,90,44,86,84,87,6,43,52,19,91,53,36,44,69,4,79,8,37,89,54,94,65,45,0,27,46,4,39,5,37,3,76,32,52,64,88,72,37,51,35,35,12,7,34,24,81,62,35,85,69,95,36,25,91,32,15,24,99,24,85,96,78,42,93,18,40
1988,40,46,1,59,24,62,56,43,65,72,35,51,47,58,5,62,80,15,51,3,90,47,91,53,56,15,39,54,84,10,95,95,56,66,20,3,47,34,19,47,73,53,65,51,6,92,4,48,27,60,99,33,40,30,23,53,26,43,49,47,5,67,68,82,13,87,0,0,69,76,37,20,31,97,91,85,68,50,94,63,70,86,42,67,69,59,63,27,21,84,27,62,94,51,65,56,77,84,82,92
2386,1,82,88,7,78,25,78,36,78,8,82,62,41,35,69,53,15,74,43,19,99,68,86,98,69,34,65,2,79,94,54,49,98,96,33,20,39,76,49,21,9,36,41,78,63,64,54,34,88,66,35,14,11,78,37,54,94,79,51,9,50,97,73,52,57,1,27,98,49,32,61,40,78,84,62,64,50,12,20,76,75,99,79,35,40,91,65,56,5,46,26,50,86,89,19,78,99,32,54,1
2139,46,85,13,67,67,58,53,80,74,22,45,31,36,49,73,33,50,91,1,58,37,41,62,22,53,67,86,3,91,93,76,89,33,37,26,38,81,100,43,52,72,94,41,71,95,43,75,14,25,28,63,1,20,53,24,1,69,88,98,84,58,93,91,15,75,61,40,27,53,15,5,16,67,65,46,58,81,81,3,3,82,80,47,39,67,13,21,50,1,89,27,90,70,27,40,6,7,23,33,79
1931,91,24,48,21,25,84,40,42,93,63,82,52,15,44,96,56,48,59,38,1,68,87,84,33,32,6,98,49,49,62,93,66,63,75,82,57,37,39,42,37,68,24,7,84,34,91,22,17,100,13,8,43,90,10,16,73,70,71,53,40,29,49,23,66,6,18,22,45,3,60,24,31,22,12,22,54,6,51,38,77,55,84,27,15,51,67,35,50,41,92,93,93,98,68,81,98,78,38,10,57
1983,8,95,61,1,46,42,95,37,48,13,99,11,37,8,6,91,80,58,15,53,89,9,40,6,10,42,10,54,33,36,18,92,54,3,7,6,19,1,53,63,96,14,68,71,70,27,84,40,68,17,100,84,53,76,91,36,56,99,40,30,51,23,86,71,46,87,81,99,73,43,24,94,88,1,69,62,72,84,76,78,86,49,69,6,80,97,64,95,51,45,33,18,26,94,18,42,42,83,53,67
2112,60,19,40,12,10,67,54,50,81,41,86,77,20,78,52,37,55,19,70,53,61,10,90,28,56,49,100,44,72,2,78,92,16,28,39,91,63,54,97,67,10,71,99,22,86,43,70,48,88,55,7,71,36,49,55,87,98,59,77,89,25,56,98,52,42,0,53,64,56,14,49,36,14,7,43,11,64,89,51,0,22,92,38,83,96,71,99,8,65,18,27,78,76,82,31,77,63,27,66,9
1541,26,98,65,75,65,76,45,82,15,56,47,82,9,24,59,11,30,96,67,57,20,0,93,38,79,11,48,14,3,53,26,86,33,43,19,90,62,13,76,75,51,100,62,9,54,77,35,58,67,63,29,7,61,51,10,12,2,17,71,87,6,52,78,43,63,32,86,89,0,27,89,22,8,55,95,98,68,93,85,68,66,56,58,24,86,90,31,82,50,53,99,42,38,9,57,34,72,2,80,60
1859,75,29,0,10,81,58,30,77,31,25,4,99,6,42,0,58,99,88,68,98,35,74,33,71,35,99,0,33,70,98,87,99,12,19,36,38,99,82,3,65,32,30,49,84,85,33,21,8,67,2,43,33,65,47,62,76,42,14,77,5,14,57,20,41,49,55,30,16,0,17,78,68,45,6,57,36,11,16,91,33,15,85,68,73,1,44,48,62,26,87,87,23,65,80,100,71,74,55,18,34
1754,12,12,51,7,37,81,73,74,53,15,7,55,33,52,93,92,68,17,77,42,34,39,68,26,79,17,71,15,73,78,82,100,14,34,33,82,31,4,96,89,72,36,40,13,64,33,71,1,66,24,46,44,36,2,80,10,12,53,16,86,17,78,36,67,80,29,15,35,0,12,17,76,24,15,25,50,4,23,77,55,55,77,82,79,11,46,44,44,16,31,79,42,100,36,26,92,10,32,85,47
2320,68,75,30,59,62,6,1,49,76,68,71,66,33,50,92,72,22,64,72,82,94,93,58,11,65,84,26,55,78,70,81,95,42,96,25,32,4,84,12,51,48,14,39,59,19,2,73,23,19,62,29,46,3,60,10,39,55,47,5,96,79,36,67,73,89,91,41,82,66,38,22,62,22,35,28,12,45,14,4,53,72,44,62,89,59,23,32,0,98,70,33,44,94,36,74,4,41,79,1,59
2028,89,13,84,25,34,63,80,92,15,93,18,17,81,69,77,78,22,49,3,94,67,38,77,43,48,79,70,2,73,79,90,72,24,6,53,48,55,1,41,74,36,2,27,46,5,43,30,86,8,62,28,38,32,31,96,88,76,14,89,19,36,52,8,23,39,4,47,50,86,20,42,59,56,70,98,52,53,30,73,79,26,77,7,65,48,2,59,14,53,29,77,71,3,47,25,1,84,34,6,56
1968,15,17,28,26,50,95,80,88,84,53,43,57,46,70,1,93,49,4,77,4,19,59,81,81,19,12,3,50,93,42,10,88,41,68,24,82,34,56,3,7,71,30,31,33,14,34,66,56,97,56,99,70,91,15,31,16,22,53,57,51,7,52,94,94,53,15,82,100,36,12,69,52,22,53,57,72,90,92,98,20,26,13,19,58,28,89,35,92,59,83,94,23,6,19,80,26,28,63,46,14
2012,31,60,86,24,73,24,94,93,100,66,99,65,8,33,98,100,49,76,79,4,65,88,62,31,29,49,52,13,96,97,71,18,24,61,74,92,34,42,22,51,15,34,31,30,69,78,51,24,87,7,19,22,13,51,21,73,50,70,93,94,18,38,86,24,1,36,19,32,65,23,79,90,79,68,15,35,84,80,17,66,62,93,10,4,24,39,50,2,34,67,22,53,14,92,19,66,75,7,96,92
1979,65,47,68,92,29,3,54,52,40,64,29,98,52,56,81,11,13,17,85,71,20,99,9,83,99,11,65,11,32,65,66,74,64,85,43,78,69,50,82,18,16,0,92,7,54,22,7,64,46,26,62,68,5,40,55,5,65,54,34,69,80,8,53,89,30,56,57,55,39,67,55,56,46,64,11,6,82,71,58,27,43,95,97,91,44,25,99,93,10,11,61,57,23,54,20,97,14,41,24,14
1635,97,19,86,9,29,11,95,43,72,33,12,48,56,92,27,83,1,94,84,60,36,13,31,41,6,34,78,81,84,6,58,68,23,51,80,6,27,64,76,93,61,76,15,87,24,82,97,41,97,69,39,55,49,15,44,7,3,11,38,94,67,20,94,11,47,7,12,58,86,58,22,58,15,22,97,75,70,55,100,31,96,4,59,10,89,55,11,34,37,2,95,63,42,47,17,15,94,45,39,47
3003,21,2,62,47,97,69,28,33,72,28,4,59,20,84,85,84,3,100,7,81,85,76,70,82,80,99,74,49,64,100,6,54,11,11,91,70,61,12,43,96,65,79,36,61,26,79,74,83,16,27,80,55,47,90,53,81,53,80,68,83,98,94,71,35,76,98,51,51,82,99,10,47,43,2,13,13,12,49,28,58,4,65,70,92,62,64,40,41,13,31,10,94,35,53,2,26,50,63,100,61
2138,89,53,83,22,7,85,15,92,44,26,13,50,92,27,38,68,66,17,9,38,21,69,72,28,43,39,1,50,98,78,9,11,31,41,62,39,57,97,18,35,94,64,84,52,81,66,15,23,62,76,28,63,42,100,4,47,59,43,60,73,100,66,23,35,68,79,94,56,6,94,27,72,91,27,9,69,26,99,7,61,95,36,67,87,83,91,68,14,20,17,73,72,52,57,33,87,44,16,9,43
1805,10,32,32,7,72,75,33,19,8,58,29,63,13,81,38,91,49,15,14,97,41,7,3,9,92,83,5,56,42,13,85,100,67,27,37,28,23,45,82,99,69,15,70,42,52,57,56,30,27,48,71,79,11,50,79,25,48,27,96,32,42,91,97,71,24,35,22,86,63,54,3,20,92,0,40,60,53,83,85,74,24,70,26,3,55,92,51,71,6,82,8,48,56,29,64,70,26,53,85,28
1831,65,77,25,41,18,69,16,14,49,93,92,21,82,23,61,18,65,9,72,85,5,56,48,44,16,95,48,2,27,4,97,93,33,10,74,76,70,25,44,36,61,84,29,16,40,4,37,44,31,68,8,66,21,31,71,58,98,4,38,88,19,65,2,79,93,91,85,95,69,60,56,14,50,45,71,65,24,93,73,30,91,23,20,61,60,43,99,46,85,90,44,12,17,55,73,96,83,53,39,34
1689,100,99,83,48,18,96,27,56,36,44,82,34,55,33,84,95,2,43,12,31,81,34,21,79,1,13,3,17,63,38,14,66,7,7,57,63,62,27,65,92,20,9,37,17,28,27,29,36,99,9,27,4,49,3,99,27,81,26,16,89,95,85,75,11,21,50,40,76,98,17,90,34,73,92,57,98,64,64,3,26,42,55,58,23,90,14,96,78,10,98,47,20,49,6,79,85,46,33,33,61
1766,0,79,44,77,56,63,14,55,35,63,100,67,96,93,40,85,73,75,99,70,85,48,4,66,35,12,62,37,35,37,86,79,6,38,95,100,19,88,70,84,15,63,84,89,56,28,88,41,57,78,66,79,76,58,96,21,27,39,40,18,54,29,21,24,92,18,9,54,23,80,88,27,17,39,83,33,17,23,19,84,74,84,53,99,64,32,56,19,1,32,34,15,61,48,31,41,68,11,22,0
2161,30,94,6,4,73,84,76,7,11,3,35,51,76,97,43,49,87,67,98,78,13,12,9,73,82,54,32,39,92,94,32,41,82,43,45,22,29,24,63,62,92,17,17,49,99,27,97,57,70,5,54,97,82,15,16,5,56,44,71,76,49,42,78,80,83,30,52,96,53,82,7,98,68,20,67,67,40,52,73,69,34,83,59,16,57,58,57,75,32,81,82,77,82,34,86,50,75,22,62,87
1726,42,67,35,7,33,48,7,98,17,21,84,35,11,13,17,91,92,50,17,87,14,9,13,64,45,59,14,24,88,99,50,13,3,13,15,29,8,14,47,77,35,4,58,59,1,70,83,70,85,19,83,28,35,18,18,76,35,39,15,24,35,71,79,48,13,96,73,37,8,37,93,72,95,74,67,12,0,56,81,30,25,60,72,19,7,7,12,79,90,77,89,20,42,51,47,82,79,56,10,26
1908,88,4,14,76,84,29,72,32,7,97,32,28,30,9,12,27,75,62,97,53,67,27,43,27,18,2,63,63,59,31,34,20,25,54,27,9,22,33,80,21,15,16,62,9,79,52,52,44,30,8,89,60,34,9,76,49,1,74,21,67,13,61,80,99,85,97,52,57,44,40,70,80,51,35,90,24,78,29,86,7,10,48,88,21,46,70,39,1,37,79,22,97,89,13,40,75,67,63,43,3
